,precision,recall,f1-score,support
Azurite_1,0.25612244897959185,0.251,0.25353535353535356,1000.0
Copper_3,0.38272816486751715,0.39,0.3863298662704309,1000.0
Malachite_5,0.2613521695257316,0.259,0.26017076845806125,1000.0
Pyromorphite_7,0.23932472691161866,0.241,0.24015944195316394,1000.0
Wulfenite_9,0.21635094715852443,0.217,0.2166749875187219,1000.0
accuracy,0.2716,0.2716,0.2716,0.2716
macro avg,0.2711756914885967,0.2716,0.2713740835471463,5000.0
weighted avg,0.27117569148859677,0.2716,0.27137408354714637,5000.0
